Quantity,Name,Part Number
1,Electric Imp April Board w/ Right angle header,
1,Electric Imp imp001 Module,
1,RadioShack Multipurpose PC Board,RadioShack 2760150
1,2x13 Pin Female to Female Ribbon Cable,Adafruit 862
1,2x13 Pin Male Breakaway Header ,Sparkfun PRT-12791
1,SN74HC595N 8 bit Shift Register,Sparkfun COM-13699
1,16 Pin DIP IC Socket,Sparkfun PRT-07938
3,LTL-30EFJ Bicolor Red/Green LED,Digikey 160-1715-ND
3,100 Ohm 1/4 W 5% Resistor,N/A
1,10 kOhm 1/4 W 5% Resistor,N/A
1,CdS Photocell,Sparkfun SEN-09088
1,Piezo Speaker,Sparkfun COM-07950
1,P2N2222a General Purpose NPN BJT,Digikey PN2222AFS-ND
1,1uF Ceramic Capacitor,N/A
